2022-05-20,UST-USD
Time,Price,UnixTime
00:00:01.154640Z,0.07506,1653004801.15464
00:00:06.237857Z,0.075,1653004806.237857
00:00:10.743852Z,0.07522,1653004810.743852
00:00:30.216196Z,0.07463,1653004830.216196
00:00:36.412494Z,0.07518,1653004836.412494
00:00:43.732286Z,0.07502,1653004843.732286
00:01:11.608528Z,0.07522,1653004871.608528
00:01:16.911170Z,0.07522,1653004876.91117
00:01:24.544636Z,0.0755,1653004884.544636
00:01:32.317925Z,0.07559,1653004892.317925
00:01:46.602126Z,0.07559,1653004906.602126
00:01:48.835064Z,0.07559,1653004908.835064
00:01:56.702968Z,0.07546,1653004916.702968
00:02:04.156325Z,0.07528,1653004924.156325
00:02:14.878948Z,0.07542,1653004934.878948
00:02:31.540735Z,0.07554,1653004951.540735
00:02:47.515667Z,0.07553,1653004967.515667
00:02:50.692510Z,0.07547,1653004970.69251
00:03:02.195347Z,0.07542,1653004982.195347
00:03:10.735659Z,0.07523,1653004990.735659
00:03:20.299628Z,0.07533,1653005000.299628
00:03:30.696351Z,0.07549,1653005010.696351
00:03:41.849411Z,0.07551,1653005021.849411
00:03:47.602392Z,0.07552,1653005027.602392
00:04:27.679486Z,0.07523,1653005067.679486
00:04:36.177571Z,0.07523,1653005076.177571
00:04:55.061475Z,0.07546,1653005095.061475
00:05:00.491114Z,0.07537,1653005100.491114
00:05:06.465486Z,0.07523,1653005106.465486
00:05:24.103858Z,0.07537,1653005124.103858
00:05:37.438926Z,0.07523,1653005137.438926
00:06:06.013766Z,0.07523,1653005166.013766
00:06:21.354514Z,0.07527,1653005181.354514
00:06:42.773125Z,0.07542,1653005202.773125
00:06:51.623416Z,0.07527,1653005211.623416
00:07:03.731596Z,0.07527,1653005223.731596
00:07:07.260644Z,0.07554,1653005227.260644
00:07:10.319173Z,0.07554,1653005230.319173
00:07:17.863669Z,0.07531,1653005237.863669
00:07:21.173611Z,0.07531,1653005241.173611
00:07:29.743391Z,0.07554,1653005249.743391
00:07:46.473848Z,0.0753,1653005266.473848
00:08:28.366904Z,0.07554,1653005308.366904
00:08:33.942337Z,0.07545,1653005313.942337
00:08:40.271159Z,0.0754,1653005320.271159
00:08:45.515682Z,0.0753,1653005325.515682
00:09:20.616924Z,0.0753,1653005360.616924
00:10:00.919505Z,0.07546,1653005400.919505
00:10:11.698709Z,0.0753,1653005411.698709
00:10:13.948624Z,0.07546,1653005413.948624
00:10:17.414588Z,0.0753,1653005417.414588
00:10:24.797251Z,0.07546,1653005424.797251
00:11:00.606734Z,0.07536,1653005460.606734
00:11:14.307798Z,0.07554,1653005474.307798
00:11:44.002346Z,0.07554,1653005504.002346
00:11:48.034224Z,0.0753,1653005508.034224
00:11:55.093664Z,0.0753,1653005515.093664
00:12:03.783004Z,0.07476,1653005523.783004
00:12:22.467085Z,0.07492,1653005542.467085
00:12:25.722689Z,0.07479,1653005545.722689
00:12:34.236977Z,0.07504,1653005554.236977
