2022-05-20,ETH-USD
Time,Price,UnixTime
00:00:03.852616Z,2017.53,1653004803.852616
00:00:08.832462Z,2017.41,1653004808.832462
00:00:11.705617Z,2017.58,1653004811.705617
00:00:18.337791Z,2017.07,1653004818.337791
00:00:23.760877Z,2016.31,1653004823.760877
00:00:29.104538Z,2015.51,1653004829.104538
00:00:33.001688Z,2014.9,1653004833.001688
00:00:37.098052Z,2014.61,1653004837.098052
00:00:43.735799Z,2015.14,1653004843.735799
00:00:47.736993Z,2015.88,1653004847.736993
00:00:54.213325Z,2017.07,1653004854.213325
00:00:57.734966Z,2018.12,1653004857.734966
00:01:04.235266Z,2017.42,1653004864.235266
00:01:07.035731Z,2017.04,1653004867.035731
00:01:13.050560Z,2015.91,1653004873.05056
00:01:19.491036Z,2015.78,1653004879.491036
00:01:24.772050Z,2015.71,1653004884.77205
00:01:27.442641Z,2015.7,1653004887.442641
00:01:33.582519Z,2014.89,1653004893.582519
00:01:39.343580Z,2014.13,1653004899.34358
00:01:43.233665Z,2013.91,1653004903.233665
00:01:49.103190Z,2014.01,1653004909.10319
00:01:53.298083Z,2013.48,1653004913.298083
00:01:59.426109Z,2012.58,1653004919.426109
00:02:05.141397Z,2012.34,1653004925.141397
00:02:10.191046Z,2011.69,1653004930.191046
00:02:13.387316Z,2011.71,1653004933.387316
00:02:18.238141Z,2012.12,1653004938.238141
00:02:24.965214Z,2012.48,1653004944.965214
00:02:29.406007Z,2012.24,1653004949.406007
00:02:33.920869Z,2012.53,1653004953.920869
00:02:40.318428Z,2013.27,1653004960.318428
00:02:44.269109Z,2014.75,1653004964.269109
00:02:48.794597Z,2014.81,1653004968.794597
00:02:55.215582Z,2015,1653004975.215582
00:02:58.230166Z,2015.2,1653004978.230166
00:03:03.349702Z,2016.16,1653004983.349702
00:03:08.963871Z,2016.23,1653004988.963871
00:03:13.986759Z,2015.53,1653004993.986759
00:03:18.892530Z,2016.38,1653004998.89253
00:03:24.996408Z,2016.82,1653005004.996408
00:03:28.902084Z,2017.01,1653005008.902084
00:03:34.531664Z,2017.04,1653005014.531664
00:03:38.886284Z,2016.8,1653005018.886284
00:03:44.943204Z,2016.14,1653005024.943204
00:03:50.745182Z,2014.01,1653005030.745182
00:03:54.246817Z,2013.81,1653005034.246817
00:03:59.182504Z,2012.81,1653005039.182504
00:04:04.660866Z,2012.4,1653005044.660866
00:04:10.658706Z,2013.16,1653005050.658706
00:04:14.405673Z,2012.28,1653005054.405673
00:04:20.495535Z,2013.65,1653005060.495535
00:04:24.155317Z,2014.89,1653005064.155317
00:04:30.956246Z,2015.47,1653005070.956246
00:04:34.132189Z,2015.99,1653005074.132189
00:04:39.014951Z,2015.45,1653005079.014951
00:04:43.783432Z,2015.51,1653005083.783432
00:04:50.898972Z,2016.11,1653005090.898972
00:04:54.302024Z,2015.85,1653005094.302024
00:05:00.627179Z,2015.7,1653005100.627179
00:05:05.846097Z,2015.79,1653005105.846097
00:05:10.735899Z,2015.53,1653005110.735899
00:05:15.637544Z,2015.29,1653005115.637544
00:05:19.637087Z,2014.46,1653005119.637087
00:05:24.957484Z,2013.1,1653005124.957484
00:05:29.977964Z,2012.67,1653005129.977964
00:05:35.647233Z,2011.73,1653005135.647233
00:05:41.525304Z,2012.07,1653005141.525304
00:05:46.674029Z,2012.86,1653005146.674029
00:05:51.160653Z,2013.14,1653005151.160653
00:05:55.829285Z,2013.54,1653005155.829285
00:05:59.469402Z,2014.47,1653005159.469402
00:06:06.147212Z,2014.99,1653005166.147212
00:06:10.873372Z,2014.76,1653005170.873372
00:06:15.406809Z,2015.46,1653005175.406809
00:06:20.190217Z,2016.62,1653005180.190217
00:06:24.932630Z,2016.2,1653005184.93263
00:06:31.650442Z,2015.78,1653005191.650442
00:06:36.925884Z,2016.01,1653005196.925884
00:06:40.203828Z,2015.82,1653005200.203828
00:06:43.213744Z,2015.8,1653005203.213744
00:06:51.054725Z,2016.58,1653005211.054725
00:06:55.344903Z,2016.62,1653005215.344903
00:07:02.298924Z,2016.82,1653005222.298924
00:07:05.805009Z,2017.89,1653005225.805009
00:07:11.270417Z,2018.11,1653005231.270417
00:07:15.929247Z,2017.79,1653005235.929247
00:07:21.363484Z,2017.83,1653005241.363484
00:07:26.254302Z,2017.29,1653005246.254302
00:07:31.972509Z,2017.51,1653005251.972509
00:07:35.911472Z,2017.01,1653005255.911472
00:07:41.470031Z,2017.26,1653005261.470031
00:07:47.792667Z,2016.23,1653005267.792667
00:07:52.142798Z,2016.68,1653005272.142798
00:07:58.056622Z,2016.8,1653005278.056622
00:08:01.073249Z,2017.21,1653005281.073249
00:08:07.790048Z,2017.77,1653005287.790048
00:08:11.793966Z,2017.4,1653005291.793966
00:08:17.650801Z,2017.17,1653005297.650801
00:08:23.240114Z,2016.39,1653005303.240114
00:08:27.451424Z,2016.44,1653005307.451424
00:08:31.418573Z,2015.83,1653005311.418573
00:08:38.207085Z,2016.31,1653005318.207085
00:08:42.199686Z,2016.26,1653005322.199686
00:08:47.081744Z,2016.08,1653005327.081744
00:08:52.060272Z,2016,1653005332.060272
00:08:56.642384Z,2016.7,1653005336.642384
00:09:02.260532Z,2016.56,1653005342.260532
00:09:06.948939Z,2015.43,1653005346.948939
00:09:12.794059Z,2014.98,1653005352.794059
00:09:16.978135Z,2014.74,1653005356.978135
00:09:22.789324Z,2015.33,1653005362.789324
00:09:28.499001Z,2015.7,1653005368.499001
00:09:32.701809Z,2014.79,1653005372.701809
00:09:38.746840Z,2015.27,1653005378.74684
00:09:42.082952Z,2015.27,1653005382.082952
00:09:48.852394Z,2014.34,1653005388.852394
00:09:52.663866Z,2014.05,1653005392.663866
00:09:58.010867Z,2013.75,1653005398.010867
00:10:02.668228Z,2014.09,1653005402.668228
00:10:08.546425Z,2014.36,1653005408.546425
00:10:11.876551Z,2014.3,1653005411.876551
00:10:16.882622Z,2013.64,1653005416.882622
00:10:22.004225Z,2013.65,1653005422.004225
00:10:28.576140Z,2013.57,1653005428.57614
00:10:32.822874Z,2014.38,1653005432.822874
00:10:38.713425Z,2014.57,1653005438.713425
00:10:42.533674Z,2014.86,1653005442.533674
00:10:48.717036Z,2014.44,1653005448.717036
00:10:52.038909Z,2014.7,1653005452.038909
00:10:57.778503Z,2014.63,1653005457.778503
00:11:02.723282Z,2014.65,1653005462.723282
00:11:08.621990Z,2014.05,1653005468.62199
00:11:11.500668Z,2014.36,1653005471.500668
00:11:18.441287Z,2014.18,1653005478.441287
00:11:22.739203Z,2014.26,1653005482.739203
00:11:28.246519Z,2014.11,1653005488.246519
00:11:32.099269Z,2014.67,1653005492.099269
00:11:38.894378Z,2014.12,1653005498.894378
00:11:42.167153Z,2014.26,1653005502.167153
00:11:48.705781Z,2013.67,1653005508.705781
00:11:54.105767Z,2013.23,1653005514.105767
00:11:58.409516Z,2013.44,1653005518.409516
00:12:04.289424Z,2014.39,1653005524.289424
00:12:08.755490Z,2014.42,1653005528.75549
00:12:14.785570Z,2012.91,1653005534.78557
00:12:18.847753Z,2013.27,1653005538.847753
00:12:23.278395Z,2012.47,1653005543.278395
00:12:28.707824Z,2013.12,1653005548.707824
00:12:34.427611Z,2013.26,1653005554.427611
00:12:38.528190Z,2013.29,1653005558.52819
00:12:43.782937Z,2013.38,1653005563.782937
00:12:49.542527Z,2012.72,1653005569.542527
00:12:54.969012Z,2011.57,1653005574.969012
00:12:59.363853Z,2010.13,1653005579.363853
00:13:03.935987Z,2010.07,1653005583.935987
00:13:09.848948Z,2009.67,1653005589.848948
00:13:14.343716Z,2009.23,1653005594.343716
00:13:20.050945Z,2008.53,1653005600.050945
00:13:24.926017Z,2009.28,1653005604.926017
00:13:28.900696Z,2009.67,1653005608.900696
00:13:35.206342Z,2010.17,1653005615.206342
00:13:38.993448Z,2010.96,1653005618.993448
00:13:44.989094Z,2010.11,1653005624.989094
00:13:50.042633Z,2009.83,1653005630.042633
00:13:54.777530Z,2008.87,1653005634.77753
00:14:00.708667Z,2009.73,1653005640.708667
00:14:05.299444Z,2009.99,1653005645.299444
00:14:10.524752Z,2010.29,1653005650.524752
00:14:15.209876Z,2010.02,1653005655.209876
00:14:21.063151Z,2009.75,1653005661.063151
00:14:25.019548Z,2009.9,1653005665.019548
00:14:29.583481Z,2009.74,1653005669.583481
00:14:36.232712Z,2010.24,1653005676.232712
00:14:39.766683Z,2009.86,1653005679.766683
00:14:45.798680Z,2010.78,1653005685.79868
00:14:48.516338Z,2010.78,1653005688.516338
00:14:56.210127Z,2010.32,1653005696.210127
00:14:58.810155Z,2010.31,1653005698.810155
00:15:05.887897Z,2009.29,1653005705.887897
00:15:09.062662Z,2009.49,1653005709.062662
00:15:16.119442Z,2010.04,1653005716.119442
00:15:21.068151Z,2010.97,1653005721.068151
00:15:26.258166Z,2011.75,1653005726.258166
00:15:29.327815Z,2012.58,1653005729.327815
00:15:36.099737Z,2012.22,1653005736.099737
00:15:40.662996Z,2012.59,1653005740.662996
00:15:46.698620Z,2011.99,1653005746.69862
00:15:50.658305Z,2012.23,1653005750.658305
00:15:56.690556Z,2012.78,1653005756.690556
00:16:01.126041Z,2012.06,1653005761.126041
00:16:06.161771Z,2011.7,1653005766.161771
00:16:10.414893Z,2011.19,1653005770.414893
00:16:16.257421Z,2011.31,1653005776.257421
00:16:21.361478Z,2011.29,1653005781.361478
00:16:26.646642Z,2011.08,1653005786.646642
00:16:32.059012Z,2011.02,1653005792.059012
00:16:36.313429Z,2010.74,1653005796.313429
00:16:41.662338Z,2011.08,1653005801.662338
00:16:47.441978Z,2011.59,1653005807.441978
00:16:51.823611Z,2011.19,1653005811.823611
00:16:56.877431Z,2011.27,1653005816.877431
00:17:02.007298Z,2011.54,1653005822.007298
00:17:07.245001Z,2011.46,1653005827.245001
00:17:11.955814Z,2011.21,1653005831.955814
00:17:17.932590Z,2011.31,1653005837.93259
00:17:22.628429Z,2010.72,1653005842.628429
00:17:25.765125Z,2011.01,1653005845.765125
00:17:31.701412Z,2010.28,1653005851.701412
00:17:38.050452Z,2011.46,1653005858.050452
00:17:42.667401Z,2011.92,1653005862.667401
00:17:47.173352Z,2011.79,1653005867.173352
00:17:53.213358Z,2011.77,1653005873.213358
00:17:56.993750Z,2012,1653005876.99375
00:18:01.837475Z,2011.41,1653005881.837475
00:18:08.438176Z,2011.38,1653005888.438176
00:18:12.441026Z,2011.5,1653005892.441026
00:18:18.317028Z,2011.07,1653005898.317028
00:18:21.829776Z,2010.75,1653005901.829776
00:18:27.889724Z,2010.35,1653005907.889724
00:18:33.242181Z,2010.45,1653005913.242181
00:18:36.237192Z,2010.29,1653005916.237192
00:18:41.403196Z,2010.76,1653005921.403196
00:18:47.862271Z,2010.39,1653005927.862271
00:18:53.481103Z,2009.95,1653005933.481103
00:18:58.786089Z,2010.1,1653005938.786089
00:19:03.087369Z,2010.31,1653005943.087369
00:19:08.982481Z,2011.05,1653005948.982481
